Skill / pot,#,Player,Age,Team,ETV
83,,"Tyrick MitchellM, D (L)",,,
72.4,179,Netherlands,24,Man Utd,€29M
77.1,,Joshua ZirkzeeF (C),,,
71.5,180,France,23,Burnley,€28.7M
81.7,,Maxime EstèveD (C),,,
71.3,181,Georgia,25,Liverpool,€28.2M
75.8,,Giorgi MamardashviliGK,,,
75.7,182,Turkey,26,Brighton,€28.2M
75.8,,Ferdi Kad?o?luD (L),,,
77.7,183,England,29,C. Palace,€28.1M
78.3,,Dean HendersonGK,,,
78.9,184,Colombia,29,C. Palace,€28.1M
78.9,,"Daniel MuñozD, M (R)",,,
69,185,France,21,Tottenham,€28M
80.3,,"Wilson Odobert F (L), M (R)",,,
59,186,Greece,20,Brighton,€28M
73.6,,Stefanos TzimasF (C),,,
73.9,187,France,25,Chelsea,€27.9M
77.6,,Wesley FofanaD (CR),,,
66.1,188,Belgium,20,Sunderland,€27.7M
78.5,,"Chemsdine TalbiF, M (R)",,,
68.8,189,England,28,West Ham,€27.7M
69.6,,Maximilian KilmanD (C),,,
66.8,190,Argentina,21,Leeds Utd,€27.7M
78.9,,"Facundo BuonanotteAM (C), M (CR)",,,
74.3,191,England,25,Brentford,€27.7M
79.6,,"Keane Lewis-PotterM, D (L)",,,
59.1,192,Netherlands,20,Brentford,€27.6M
73.8,,Antoni MilamboM (C),,,
61.8,193,Nigeria,25,Wolves,€27.5M
64.4,,Tolu ArokodareF (C),,,
71.3,194,France,20,Chelsea,€27.4M
84.2,,Mamadou SarrD (C),,,
85.5,195,Spain,30,Arsenal,€27.4M
87.4,,David RayaGK,,,
79.2,196,Poland,28,A. Villa,€27.4M
79.2,,Matty CashD (R),,,
69.3,197,Austria,27,Tottenham,€27.3M
70,,Kevin DansoD (C),,,
65.7,198,France,21,Burnley,€27.2M
78,,"Lesley UgochukwuDM, M (C)",,,
73.3,199,Norway,28,Fulham,€27.2M
73.6,,"Sander BergeDM, M (C)",,,
76.1,200,England,23,Everton,€27.1M
82.9,,Jarrad BranthwaiteD (C),,,
,201,Congo DR,29,Newcastle,€26.9M
76.1,,Yoane WissaF (C),,,
76.1,,,,,
51,202,England,20,Everton,€26.8M
65.7,,Tyrique GeorgeF (CL),,,
70.2,203,Brazil,27,A. Villa,€26.6M
71.1,,"Douglas LuizM, DM (C)",,,
67.8,204,England,22,N. Forest,€26.3M
78.3,,Omari Hutchinson M (CR),,,
66.3,205,Romania,24,Tottenham,€26.3M
72.1,,Radu Dr?gu?inD (C),,,
77.1,206,England,25,Fulham,€26.2M
79.5,,Emile Smith RoweM (C),,,
38.9,207,England,17,Liverpool,€26.2M
60.9,,Rio NgumohaF (L),,,
58.9,208,England,19,Chelsea,€26.2M
70.3,,Josh AcheampongD (CR),,,
69.8,209,Italy,22,Leeds Utd,€26.1M
79.3,,Wilfried GnontoM (R),,,
73.5,210,Uruguay,28,Tottenham,€26M
73.5,,"Rodrigo Bentancur  DM, M (C)",,,
67.3,211,Brazil,25,N. Forest,€25.9M
70.6,,Igor JesusF (C),,,
68.9,212,Ireland,27,Brentford,€25.8M
68.9,,Caoimhín KelleherGK,,,
68.3,213,Netherlands,24,Sunderland,€25.7M
72.5,,Brian BrobbeyF (C),,,
63,214,England,23,N. Forest,€25.6M
