player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Jarrod Bowen,jarrod bowen,,,0,,,Premier League,36636000.0,36636000.0,
Bruno Fernandes,bruno fernandes,,,0,,,Premier League,36550000.0,36550000.0,
Iliman Ndiaye,iliman ndiaye,,,0,,,Premier League,36550000.0,36550000.0,
Sven Botman,sven botman,,,0,,,Premier League,36550000.0,36550000.0,
Marc Cucurella,marc cucurella,,,0,,,Premier League,36292000.0,36292000.0,
Bart Verbruggen,bart verbruggen,,,0,,,Premier League,36120000.0,36120000.0,
Ben White,ben white,,,0,,,Premier League,36120000.0,36120000.0,
Georginio Rutter,georginio rutter,,,0,,,Premier League,35862000.0,35862000.0,
Maxence Lacroix,maxence lacroix,,,0,,,Premier League,35862000.0,35862000.0,
Mikel Merino,mikel merino,,,0,,,Premier League,35862000.0,35862000.0,
Justin Kluivert,justin kluivert,,,0,,,Premier League,35088000.0,35088000.0,
Callum Hudson-Odoi,callum hudson-odoi,,,0,,,Premier League,34658000.0,34658000.0,
Ibrahima Konaté,ibrahima konaté,,,0,,,Premier League,34314000.0,34314000.0,
James Trafford,james trafford,,,0,,,Premier League,34142000.0,34142000.0,
Antonee Robinson,antonee robinson,,,0,,,Premier League,33626000.0,33626000.0,
Harvey Elliott,harvey elliott,,,0,,,Premier League,33626000.0,33626000.0,
Yasin Ayari,yasin ayari,,,0,,,Premier League,33540000.0,33540000.0,
Conor Bradley,conor bradley,,,0,,,Premier League,33454000.0,33454000.0,
Michael Kayode,michael kayode,,,0,,,Premier League,33454000.0,33454000.0,
Jean-Philippe Mateta,jean-philippe mateta,,,0,,,Premier League,33282000.0,33282000.0,
Oscar Bobb,oscar bobb,,,0,,,Premier League,33196000.0,33196000.0,
Diogo Dalot,diogo dalot,,,0,,,Premier League,33110000.0,33110000.0,
Youri Tielemans,youri tielemans,,,0,,,Premier League,33024000.0,33024000.0,
Jan Paul van Hecke,jan paul van hecke,,,0,,,Premier League,32852000.0,32852000.0,
Patrick Dorgu,patrick dorgu,,,0,,,Premier League,32766000.0,32766000.0,
Mykhaylo Mudryk,mykhaylo mudryk,,,0,,,Premier League,32508000.0,32508000.0,
André,andré,,,0,,,Premier League,32422000.0,32422000.0,
Djordje Petrovic,djordje petrovic,,,0,,,Premier League,32336000.0,32336000.0,
Mikkel Damsgaard,mikkel damsgaard,,,0,,,Premier League,32336000.0,32336000.0,
Dango Ouattara,dango ouattara,,,0,,,Premier League,31820000.0,31820000.0,
Kevin,kevin,,,0,,,Premier League,31734000.0,31734000.0,
Sepp van den Berg,sepp van den berg,,,0,,,Premier League,31734000.0,31734000.0,
Ezri Konsa,ezri konsa,,,0,,,Premier League,31218000.0,31218000.0,
Malo Gusto,malo gusto,,,0,,,Premier League,31132000.0,31132000.0,
Lisandro Martínez,lisandro martínez,,,0,,,Premier League,31046000.0,31046000.0,
El Hadji Malick Diouf,el hadji malick diouf,,,0,,,Premier League,30788000.0,30788000.0,
Malick Thiaw,malick thiaw,,,0,,,Premier League,30702000.0,30702000.0,
Randal Kolo Muani,randal kolo muani,,,0,,,Premier League,30530000.0,30530000.0,
Joelinton,joelinton,,,0,,,Premier League,30100000.0,30100000.0,
Pau Torres,pau torres,,,0,,,Premier League,29842000.0,29842000.0,
Calvin Bassey,calvin bassey,,,0,,,Premier League,29584000.0,29584000.0,
Alex Iwobi,alex iwobi,,,0,,,Premier League,29498000.0,29498000.0,
Mason Mount,mason mount,,,0,,,Premier League,28982000.0,28982000.0,
Lewis Hall,lewis hall,,,0,,,Premier League,28896000.0,28896000.0,
Guglielmo Vicario,guglielmo vicario,,,0,,,Premier League,28810000.0,28810000.0,
Nikola Milenkovi?,nikola milenkovi?,,,0,,,Premier League,28810000.0,28810000.0,
João Palhinha,joão palhinha,,,0,,,Premier League,28294000.0,28294000.0,
Lorenzo Lucca,lorenzo lucca,,,0,,,Premier League,28122000.0,28122000.0,
Kiernan Dewsbury-Hall,kiernan dewsbury-hall,,,0,,,Premier League,27950000.0,27950000.0,
Ian Maatsen,ian maatsen,,,0,,,Premier League,27692000.0,27692000.0,
Evann Guessand,evann guessand,,,0,,,Premier League,27348000.0,27348000.0,
Jaydee Canvot,jaydee canvot,,,0,,,Premier League,26402000.0,26402000.0,
Evanilson,evanilson,,,0,,,Premier League,26316000.0,26316000.0,
Lewis Miley,lewis miley,,,0,,,Premier League,26316000.0,26316000.0,
Giovanni Leoni,giovanni leoni,,,0,,,Premier League,26230000.0,26230000.0,
Kaoru Mitoma,kaoru mitoma,,,0,,,Premier League,26058000.0,26058000.0,
Alex Scott,alex scott,,,0,,,Premier League,25972000.0,25972000.0,
Nathan Collins,nathan collins,,,0,,,Premier League,25972000.0,25972000.0,
Vitaliy Mykolenko,vitaliy mykolenko,,,0,,,Premier League,25886000.0,25886000.0,
Charalampos Kostoulas,charalampos kostoulas,,,0,,,Premier League,25628000.0,25628000.0,
James Garner,james garner,,,0,,,Premier League,25370000.0,25370000.0,
Thierno Barry,thierno barry,,,0,,,Premier League,25370000.0,25370000.0,
Dário Essugo,dário essugo,,,0,,,Premier League,25284000.0,25284000.0,
Yegor Yarmolyuk,yegor yarmolyuk,,,0,,,Premier League,25284000.0,25284000.0,
Tyrick Mitchell,tyrick mitchell,,,0,,,Premier League,25112000.0,25112000.0,
Joshua Zirkzee,joshua zirkzee,,,0,,,Premier League,24940000.0,24940000.0,
Maxime Estève,maxime estève,,,0,,,Premier League,24682000.0,24682000.0,
Ferdi Kad?o?lu,ferdi kad?o?lu,,,0,,,Premier League,24252000.0,24252000.0,
Giorgi Mamardashvili,giorgi mamardashvili,,,0,,,Premier League,24252000.0,24252000.0,
Daniel Muñoz,daniel muñoz,,,0,,,Premier League,24166000.0,24166000.0,
Dean Henderson,dean henderson,,,0,,,Premier League,24166000.0,24166000.0,
