player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
Chemsdine Talbi,Sunderland,MID,1146,65,3.1,3,2,6,10,0,71,0,0,5
Emile Smith Rowe,Fulham,MID,1444,64,2.2,3,1,3,23,0,112,1,0,1
Rodrigo Bentancur,Spurs,MID,1407,64,3.2,1,1,5,21,0,207,5,0,3
Amadou Onana,Aston Villa,MID,1378,64,3.2,2,0,5,19,0,171,2,0,3
Xavi Xavi,Spurs,MID,1533,63,2.7,1,4,3,33,0,136,4,1,5
Idrissa Gana Gana,Everton,MID,1666,62,3.1,2,1,4,21,0,170,1,1,4
Joelinton Cássio Joelinton,Newcastle,MID,1574,62,2.8,2,1,5,22,0,192,8,0,2
Martin Ødegaard,Arsenal,MID,1070,62,3.1,1,6,4,11,0,81,0,0,5
Boubacar Kamara,Aston Villa,MID,1410,61,3.4,1,3,5,15,0,149,5,0,7
Jacob J.Murphy,Newcastle,MID,1134,61,2.5,3,1,6,13,0,57,1,0,2
Tyler Adams,Bournemouth,MID,1412,60,3.3,2,1,6,24,0,182,7,0,3
Omari Hutchinson,Nott'm Forest,MID,1153,60,2.7,1,5,4,17,0,90,0,0,3
Amine Adli,Bournemouth,MID,923,60,2.4,3,2,3,14,0,108,2,0,4
Pape Matar P.M.Sarr,Spurs,MID,1140,59,3.0,2,3,3,18,0,154,2,0,2
Noah Sadiki,Sunderland,MID,2114,58,2.4,0,1,7,28,0,186,6,0,0
Lewis L.Miley,Newcastle,MID,1133,58,3.1,1,3,2,16,0,123,0,0,4
Nico N.Gonzalez,Man City,MID,1370,55,2.6,1,0,7,14,0,182,6,0,1
Estêvão Estêvão,Chelsea,MID,738,55,2.9,2,5,4,8,0,51,3,0,4
Donyell Malen,Aston Villa,MID,640,55,2.6,4,2,1,10,0,16,0,0,3
Ilia Gruev,Leeds,MID,1245,53,2.6,0,4,5,23,0,107,3,0,3
Archie Gray,Spurs,MID,1197,53,2.8,2,2,5,23,0,109,5,0,6
Rodrigo 'Rodri' Rodrigo,Man City,MID,1153,53,3.1,1,0,4,12,0,160,2,0,5
Tim Iroegbunam,Everton,MID,1015,53,2.5,0,3,7,10,0,134,8,0,1
Daichi Kamada,Crystal Palace,MID,1469,52,2.7,0,2,6,17,0,159,2,0,0
Youri Tielemans,Aston Villa,MID,1295,52,3.1,0,4,4,17,0,138,0,0,3
Mathys Tel,Spurs,MID,751,52,2.4,3,1,1,16,0,62,0,0,5
Jefferson Lerma,Crystal Palace,MID,1156,51,2.2,0,4,5,15,0,147,6,0,3
Brennan Johnson,Crystal Palace,MID,1145,51,2.0,2,1,4,13,0,73,4,0,2
Noni Madueke,Arsenal,MID,829,51,2.7,2,1,5,7,0,46,0,0,6
Mitoma Mitoma,Brighton,MID,1408,50,2.6,2,1,4,16,0,80,3,0,2
Saša Lukić,Fulham,MID,1208,50,2.6,1,3,4,17,0,127,6,0,3
Jack Hinshelwood,Brighton,MID,1001,50,2.8,1,4,2,16,0,84,0,0,2
